"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\company_button_widget.dart", "Dart", 49, 0, 4, 53
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\company_information.dart", "Dart", 147, 7, 7, 161
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\company_item.dart", "Dart", 104, 0, 6, 110
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\company_list_view.dart", "Dart", 31, 0, 4, 35
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\loading_bus_widget.dart", "Dart", 25, 0, 3, 28
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\not_found_widget.dart", "Dart", 26, 0, 4, 30
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\choose_company\presentation\widgets\search_field.dart", "Dart", 43, 0, 7, 50
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\data\data_sources\remote_data_source.dart", "Dart", 134, 0, 15, 149
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\data\model\map_json_converters.dart", "Dart", 167, 0, 16, 183
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\data\repository_implementation\map_repository_implementation.dart", "Dart", 148, 2, 14, 164
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\enitity\appoinment.dart", "Dart", 10, 0, 4, 14
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\enitity\map_point.dart", "Dart", 13, 0, 2, 15
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\enitity\reschedule_body.dart", "Dart", 7, 0, 3, 10
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\enitity\returned_ride.dart", "Dart", 10, 0, 3, 13
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\enitity\ride.dart", "Dart", 30, 73, 11, 114
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\repository\map_repository.dart", "Dart", 19, 0, 2, 21
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\use_case\book_ride.dart", "Dart", 12, 0, 3, 15
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\home\domain\use_case\cancel_ride.dart", "Dart", 12, 0, 3, 15
