"filename", "language", "C++", "CSS", "JavaScript", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 0, 44
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\extensions\extensions.dart", "Dart", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -2, -4
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 37, 8, 117
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\web\index.html", "HTML", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 18, 6, 112
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\web\splash\splash.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\web\splash\style.css", "CSS", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 411, 36, 7, 625, 88, 12, 4, 75, 454, 12, 93, 8, 232, 241, 2298
